,T0,T1,T2,u0,u1,u2,Ta0,Ta1,Ta2,y
183,0.013740468,0.009951129,0.003439926,0.149548717,0.152312005,0.156301314,0.375833333,0.373333333,0.365,-0.008059451
184,0.012128578,0.013740468,0.009951129,0.149725627,0.149548717,0.152312005,0.378333333,0.375833333,0.373333333,-0.050650574
185,0.001998463,0.012128578,0.013740468,0.15496105,0.149725627,0.149548717,0.380833333,0.378333333,0.375833333,0.021646439
186,0.006327751,0.001998463,0.012128578,0.152324607,0.15496105,0.149725627,0.383333333,0.380833333,0.378333333,0.04581702
187,0.015491155,0.006327751,0.001998463,0.146627746,0.152324607,0.15496105,0.385,0.383333333,0.380833333,-0.022045046
188,0.011082145,0.015491155,0.006327751,0.148339049,0.146627746,0.152324607,0.386666667,0.385,0.383333333,-0.051067986
189,0.000868548,0.011082145,0.015491155,0.153681306,0.148339049,0.146627746,0.388333333,0.386666667,0.385,-0.020601268
190,-0.003251705,0.000868548,0.011082145,0.156036534,0.153681306,0.148339049,0.39,0.388333333,0.386666667,0.080750029
191,0.0128983,-0.003251705,0.000868548,0.146796348,0.156036534,0.153681306,0.390833333,0.39,0.388333333,0.026593693
192,0.018217039,0.0128983,-0.003251705,0.142977178,0.146796348,0.156036534,0.391666667,0.390833333,0.39,-0.012626804
193,0.015691678,0.018217039,0.0128983,0.143438247,0.142977178,0.146796348,0.3925,0.391666667,0.390833333,0.079643898
194,0.031620458,0.015691678,0.018217039,0.133274699,0.143438247,0.142977178,0.393333333,0.3925,0.391666667,-0.007034696
195,0.030213518,0.031620458,0.015691678,0.132338722,0.133274699,0.143438247,0.396666667,0.393333333,0.3925,-0.002718668
196,0.029669785,0.030213518,0.031620458,0.130977371,0.132338722,0.133274699,0.4,0.396666667,0.393333333,-0.065952441
197,0.016479297,0.029669785,0.030213518,0.137023501,0.130977371,0.132338722,0.403333333,0.4,0.396666667,0.029647924
198,0.022408881,0.016479297,0.029669785,0.13264906,0.137023501,0.130977371,0.406666667,0.403333333,0.4,0.014552291
199,0.02531934,0.022408881,0.016479297,0.129706355,0.13264906,0.137023501,0.396666667,0.406666667,0.403333333,-0.036068135
200,0.018105713,0.02531934,0.022408881,0.132507674,0.129706355,0.13264906,0.386666667,0.396666667,0.406666667,0.025310217
201,0.023167756,0.018105713,0.02531934,0.128548942,0.132507674,0.129706355,0.376666667,0.386666667,0.396666667,0.010239517
202,0.02521566,0.023167756,0.018105713,0.126067235,0.128548942,0.132507674,0.366666667,0.376666667,0.386666667,-0.075690655
203,0.010077529,0.02521566,0.023167756,0.133496941,0.126067235,0.128548942,0.355,0.366666667,0.376666667,-0.056739035
204,-0.001270278,0.010077529,0.02521566,0.139556632,0.133496941,0.126067235,0.343333333,0.355,0.366666667,-0.013666089
205,-0.004003496,-0.001270278,0.010077529,0.141221581,0.139556632,0.133496941,0.331666667,0.343333333,0.355,0.021010284
206,0.00019856,-0.004003496,-0.001270278,0.138992797,0.141221581,0.139556632,0.32,0.331666667,0.343333333,0.036933521
207,0.007585265,0.00019856,-0.004003496,0.193006189,0.138992797,0.141221581,0.326666667,0.32,0.331666667,0.080259322
208,0.023637129,0.007585265,0.00019856,0.247110086,0.193006189,0.138992797,0.333333333,0.326666667,0.32,0.121199797
209,0.047877088,0.023637129,0.007585265,0.301101381,0.247110086,0.193006189,0.34,0.333333333,0.326666667,0.013608903
210,0.050598869,0.047877088,0.023637129,0.371853837,0.301101381,0.247110086,0.346666667,0.34,0.333333333,0.144604519
211,0.079519773,0.050598869,0.047877088,0.432727817,0.371853837,0.301101381,0.354166667,0.346666667,0.34,0.217675977
212,0.123054968,0.079519773,0.050598869,0.489025633,0.432727817,0.371853837,0.361666667,0.354166667,0.346666667,0.315633632
213,0.186181694,0.123054968,0.079519773,0.537031988,0.489025633,0.432727817,0.369166667,0.361666667,0.354166667,0.243377903
214,0.234857275,0.186181694,0.123054968,0.595516695,0.537031988,0.489025633,0.376666667,0.369166667,0.361666667,0.284736598
215,0.291804595,0.234857275,0.186181694,0.593694243,0.595516695,0.537031988,0.3675,0.376666667,0.369166667,0.281681519
216,0.348140898,0.291804595,0.234857275,0.589064477,0.593694243,0.595516695,0.358333333,0.3675,0.376666667,0.306856684
217,0.409512235,0.348140898,0.291804595,0.578367814,0.589064477,0.593694243,0.349166667,0.358333333,0.3675,0.269798902
218,0.463472016,0.409512235,0.348140898,0.56858504,0.578367814,0.589064477,0.34,0.349166667,0.358333333,0.169553178
219,0.497382651,0.463472016,0.409512235,0.567499835,0.56858504,0.578367814,0.3475,0.34,0.349166667,0.21176397
220,0.539735445,0.497382651,0.463472016,0.559606114,0.567499835,0.56858504,0.355,0.3475,0.34,0.139725983
221,0.567680642,0.539735445,0.497382651,0.557763891,0.559606114,0.567499835,0.3625,0.355,0.3475,0.09371854
